sample_id,x,y,z,inclinacion,azimuth,mean,median
20251029_151741_17,0.2,0.65,0.75,20,240,3.64576625,3.64614
20251029_151741_18,0.2,0.65,0.75,20,0,3.12365251,3.12431
20251029_151741_18,0.2,0.65,0.75,20,120,4.34369504,4.34466
20251029_151741_18,0.2,0.65,0.75,20,240,3.6384603,3.63923
20251029_151741_19,0.2,0.65,0.75,20,0,3.09272958,3.09338
20251029_151741_19,0.2,0.65,0.75,20,120,4.30070901,4.30156
20251029_151741_19,0.2,0.65,0.75,20,240,3.60302674,3.6037
20251029_151741_2,0.2,0.2,0.75,20,0,3.36177157,3.36219
20251029_151741_2,0.2,0.2,0.75,20,120,3.86896404,3.86922
20251029_151741_2,0.2,0.2,0.75,20,240,4.49409379,4.49503
20251029_151741_20,0.2,0.65,0.75,20,0,3.09545968,3.09601
20251029_151741_20,0.2,0.65,0.75,20,120,4.30260541,4.30321
20251029_151741_20,0.2,0.65,0.75,20,240,3.60282487,3.60337
20251029_151741_3,0.2,0.2,0.75,20,0,3.4581261,3.4586
20251029_151741_3,0.2,0.2,0.75,20,120,3.94885311,3.94918
20251029_151741_3,0.2,0.2,0.75,20,240,4.5848139,4.58551
20251029_151741_4,0.2,0.2,0.75,20,0,3.46511564,3.46584
20251029_151741_4,0.2,0.2,0.75,20,120,3.97618422,3.97681
20251029_151741_4,0.2,0.2,0.75,20,240,4.60130645,4.60196
20251029_151741_5,0.2,0.2,0.75,20,0,3.45869405,3.45926
20251029_151741_5,0.2,0.2,0.75,20,120,3.95207801,3.9528
20251029_151741_5,0.2,0.2,0.75,20,240,4.59364342,4.59439
20251029_151741_6,0.2,0.2,0.75,20,0,3.48890369,3.48953
20251029_151741_6,0.2,0.2,0.75,20,120,4.01028863,4.01103
20251029_151741_6,0.2,0.2,0.75,20,240,4.63110735,4.6319
20251029_151741_7,0.2,0.2,0.75,20,0,3.46260755,3.46353
20251029_151741_7,0.2,0.2,0.75,20,120,3.95496065,3.9551
20251029_151741_7,0.2,0.2,0.75,20,240,4.59132007,4.59209
20251029_151741_8,0.2,0.2,0.75,20,0,3.44864953,3.44906
20251029_151741_8,0.2,0.2,0.75,20,120,3.93756943,3.93832
20251029_151741_8,0.2,0.2,0.75,20,240,4.57619401,4.57696
20251029_151741_9,0.2,0.2,0.75,20,0,3.47904203,3.47933
20251029_151741_9,0.2,0.2,0.75,20,120,3.99498961,3.9959
20251029_151741_9,0.2,0.2,0.75,20,240,4.61736837,4.61808
20251029_154538_1,0.24,0.31,0.75,20,0,3.67586048,3.67641
20251029_154538_1,0.24,0.31,0.75,20,120,4.30231561,4.30255
20251029_154538_1,0.24,0.31,0.75,20,240,4.62474932,4.62565
20251029_154538_10,0.24,0.31,0.75,20,0,3.6707767,3.67148
20251029_154538_10,0.24,0.31,0.75,20,120,4.29512885,4.29564
20251029_154538_10,0.24,0.31,0.75,20,240,4.61410529,4.614955
20251029_154538_11,0.25,0.56,0.75,20,0,3.50734818,3.50828
20251029_154538_11,0.25,0.56,0.75,20,120,4.46790818,4.46871
20251029_154538_11,0.25,0.56,0.75,20,240,4.01681465,4.01761
20251029_154538_12,0.25,0.56,0.75,20,0,3.51795491,3.51881
20251029_154538_12,0.25,0.56,0.75,20,120,4.48103267,4.48187
20251029_154538_12,0.25,0.56,0.75,20,240,4.03309309,4.03341
20251029_154538_13,0.25,0.56,0.75,20,0,3.57397112,3.57409
20251029_154538_13,0.25,0.56,0.75,20,120,4.54896449,4.54998
20251029_154538_13,0.25,0.56,0.75,20,240,4.09475497,4.09559
20251029_154538_14,0.25,0.56,0.75,20,0,3.5656629,3.56619
20251029_154538_14,0.25,0.56,0.75,20,120,4.53818981,4.53879
20251029_154538_14,0.25,0.56,0.75,20,240,4.08485013,4.08572
20251029_154538_15,0.25,0.56,0.75,20,0,3.52150827,3.5221
20251029_154538_15,0.25,0.56,0.75,20,120,4.48704526,4.48779
20251029_154538_15,0.25,0.56,0.75,20,240,4.03925671,4.04032
20251029_154538_16,0.25,0.56,0.75,20,0,3.37352096,3.37404
20251029_154538_16,0.25,0.56,0.75,20,120,4.32237522,4.32328
20251029_154538_16,0.25,0.56,0.75,20,240,3.89822067,3.89883
20251029_154538_17,0.25,0.56,0.75,20,0,3.4806016,3.48097
20251029_154538_17,0.25,0.56,0.75,20,120,4.47004259,4.47101
20251029_154538_17,0.25,0.56,0.75,20,240,4.00702399,4.00774
20251029_154538_18,0.25,0.56,0.75,20,0,3.56531073,3.56553
20251029_154538_18,0.25,0.56,0.75,20,120,4.53651254,4.53747
20251029_154538_18,0.25,0.56,0.75,20,240,4.0908306,4.09164
20251029_154538_19,0.25,0.56,0.75,20,0,3.48210848,3.48262
20251029_154538_19,0.25,0.56,0.75,20,120,4.43804731,4.43877
20251029_154538_19,0.25,0.56,0.75,20,240,3.99518184,3.99557
20251029_154538_2,0.24,0.31,0.75,20,0,3.67588722,3.67674
20251029_154538_2,0.24,0.31,0.75,20,120,4.29567372,4.2963
20251029_154538_2,0.24,0.31,0.75,20,240,4.61530267,4.61578
20251029_154538_20,0.25,0.56,0.75,20,0,3.58883286,3.58988
20251029_154538_20,0.25,0.56,0.75,20,120,4.56975037,4.57038
20251029_154538_20,0.25,0.56,0.75,20,240,4.11335861,4.11435
20251029_154538_21,0.28,0.44,0.75,20,0,3.8418838,3.842735
20251029_154538_21,0.28,0.44,0.75,20,120,4.55851814,4.55886
20251029_154538_21,0.28,0.44,0.75,20,240,4.48476634,4.48516
20251029_154538_22,0.28,0.44,0.75,20,0,3.80720008,3.80769
20251029_154538_22,0.28,0.44,0.75,20,120,4.52354811,4.52398
20251029_154538_22,0.28,0.44,0.75,20,240,4.44567765,4.44633
20251029_154538_23,0.28,0.44,0.75,20,0,3.8168424,3.81789
20251029_154538_23,0.28,0.44,0.75,20,120,4.53511082,4.53583
20251029_154538_23,0.28,0.44,0.75,20,240,4.4511321,4.4516
