label,x,y,z,d_true,ang_GLS_deg,pos_GLS_m,d_GLS_m,ang_WLS_deg,pos_WLS_m,d_WLS_m,ang_NLS_deg,pos_NLS_m,d_NLS_m
P37.t3,-0.4,0.2,0.9,1.18743420870379,0.703146814161322,0.0160726220148341,1.18056370131894,0.300372999721069,0.00803841709962307,1.1823321886639,1.039219334541,0.0283219398577686,1.1688453701334
P38.t1,-0.2,0.2,0.9,1.13578166916005,0.982838823889767,0.0254904651128226,1.15205281933888,1.1314932350742,0.0286431643236218,1.15337601379009,0.302515439398218,0.0125105831023065,1.14674551828781
P38.t2,-0.2,0.2,0.9,1.13578166916005,1.24658645695603,0.0292845577830257,1.15123023823384,1.4008302261388,0.0324221054571848,1.15218253874966,0.487721385987638,0.0151542143859957,1.14741009888474
P38.t3,-0.2,0.2,0.9,1.13578166916005,1.30644630093248,0.0301654964089014,1.15095815667989,1.46975388982438,0.0334080889381682,1.15176132716035,0.552866901888976,0.0158123389458592,1.1471271266892
P39.t1,0,0.2,0.8,1.21655250605964,0.345225147243468,0.0141705749171343,1.22865788326259,0.290019744742621,0.0126864266805169,1.22762860530005,0.307757110456663,0.0135927662464643,1.22845398464165
P39.t2,0,0.2,0.8,1.21655250605964,0.378943882592759,0.0149389575715203,1.22911296963201,0.278959938611154,0.013440506404518,1.22860308651929,0.346552817999657,0.0146221044621096,1.22916599490675
P39.t3,0,0.2,0.8,1.21655250605964,0.328652827805556,0.0137373547452329,1.22836548361438,0.303457346283832,0.0124782649035437,1.22722150152213,0.292873994724373,0.0131610972931118,1.22813594332682
P40.t1,-0.2,0.2,0.8,1.2328828005938,1.30656952167466,0.0305550383277501,1.24453377961688,1.42747477461964,0.033476383688157,1.24581852004836,0.591596337772023,0.0148616991968162,1.24048687725082
P40.t2,-0.2,0.2,0.8,1.2328828005938,1.47983822416098,0.0357647909073826,1.24876183755954,1.61139632458099,0.038742858810281,1.24968840009425,0.698062464936011,0.0197257158023121,1.24557762722673
P40.t3,-0.2,0.2,0.8,1.2328828005938,1.23495091299195,0.0320552079829123,1.25052669681285,1.36889163988504,0.0351002065512094,1.2516242888629,0.54912448180288,0.0178814471421869,1.24624753853448
