BaseIndex,HalfAngle_deg,FOV_deg,K,Pattern,Budget,RequiredArea_mm2,TotalSamples
391,15,45,81,golden_prefix,per_orientation,Inf,81000
392,30,45,81,golden_prefix,per_orientation,Inf,81000
393,45,45,81,golden_prefix,per_orientation,Inf,81000
394,60,45,81,golden_prefix,per_orientation,Inf,81000
395,75,45,81,golden_prefix,per_orientation,Inf,81000
396,15,60,81,golden_prefix,per_orientation,Inf,81000
397,30,60,81,golden_prefix,per_orientation,Inf,81000
398,45,60,81,golden_prefix,per_orientation,Inf,81000
399,60,60,81,golden_prefix,per_orientation,Inf,81000
400,75,60,81,golden_prefix,per_orientation,Inf,81000
401,15,65,81,golden_prefix,per_orientation,111864218.593417,81000
402,30,65,81,golden_prefix,per_orientation,320.24249759305,81000
403,45,65,81,golden_prefix,per_orientation,98.7838295382282,81000
404,60,65,81,golden_prefix,per_orientation,89.4027884753568,81000
405,75,65,81,golden_prefix,per_orientation,105.255105052963,81000
406,15,70,81,golden_prefix,per_orientation,36780666.4207403,81000
407,30,70,81,golden_prefix,per_orientation,294.74694311062,81000
408,45,70,81,golden_prefix,per_orientation,98.7838295382282,81000
409,60,70,81,golden_prefix,per_orientation,89.4002181103365,81000
410,75,70,81,golden_prefix,per_orientation,104.033643084662,81000
411,15,75,81,golden_prefix,per_orientation,36780666.4207403,81000
412,30,75,81,golden_prefix,per_orientation,294.74694311062,81000
413,45,75,81,golden_prefix,per_orientation,98.7838295382282,81000
414,60,75,81,golden_prefix,per_orientation,89.4002181103365,81000
415,75,75,81,golden_prefix,per_orientation,104.033643084662,81000
416,15,85,81,golden_prefix,per_orientation,36780666.4207403,81000
417,30,85,81,golden_prefix,per_orientation,294.74694311062,81000
418,45,85,81,golden_prefix,per_orientation,98.7838295382282,81000
419,60,85,81,golden_prefix,per_orientation,89.4002181103365,81000
420,75,85,81,golden_prefix,per_orientation,104.033643084662,81000
421,15,45,3,center_ring,per_orientation,Inf,3000
422,30,45,3,center_ring,per_orientation,Inf,3000
423,45,45,3,center_ring,per_orientation,Inf,3000
424,60,45,3,center_ring,per_orientation,Inf,3000
425,75,45,3,center_ring,per_orientation,Inf,3000
426,15,60,3,center_ring,per_orientation,Inf,3000
427,30,60,3,center_ring,per_orientation,Inf,3000
428,45,60,3,center_ring,per_orientation,Inf,3000
429,60,60,3,center_ring,per_orientation,Inf,3000
430,75,60,3,center_ring,per_orientation,Inf,3000
431,15,65,3,center_ring,per_orientation,Inf,3000
432,30,65,3,center_ring,per_orientation,Inf,3000
433,45,65,3,center_ring,per_orientation,Inf,3000
434,60,65,3,center_ring,per_orientation,Inf,3000
435,75,65,3,center_ring,per_orientation,Inf,3000
436,15,70,3,center_ring,per_orientation,Inf,3000
437,30,70,3,center_ring,per_orientation,Inf,3000
438,45,70,3,center_ring,per_orientation,Inf,3000
439,60,70,3,center_ring,per_orientation,Inf,3000
440,75,70,3,center_ring,per_orientation,Inf,3000
441,15,75,3,center_ring,per_orientation,Inf,3000
442,30,75,3,center_ring,per_orientation,Inf,3000
443,45,75,3,center_ring,per_orientation,Inf,3000
444,60,75,3,center_ring,per_orientation,Inf,3000
445,75,75,3,center_ring,per_orientation,Inf,3000
446,15,85,3,center_ring,per_orientation,Inf,3000
447,30,85,3,center_ring,per_orientation,Inf,3000
448,45,85,3,center_ring,per_orientation,Inf,3000
449,60,85,3,center_ring,per_orientation,Inf,3000
450,75,85,3,center_ring,per_orientation,Inf,3000
451,15,45,5,center_ring,per_orientation,Inf,5000
452,30,45,5,center_ring,per_orientation,Inf,5000
453,45,45,5,center_ring,per_orientation,Inf,5000
454,60,45,5,center_ring,per_orientation,Inf,5000
455,75,45,5,center_ring,per_orientation,Inf,5000
456,15,60,5,center_ring,per_orientation,Inf,5000
457,30,60,5,center_ring,per_orientation,Inf,5000
458,45,60,5,center_ring,per_orientation,Inf,5000
459,60,60,5,center_ring,per_orientation,Inf,5000
460,75,60,5,center_ring,per_orientation,Inf,5000
461,15,65,5,center_ring,per_orientation,409173457.473895,5000
